index_id,change_date,previous_snapshot_date,change_type,code,code_name
sz50,2026-03-02,,add,sh.600028,中国石化
sz50,2026-03-02,,add,sh.600030,中信证券
sz50,2026-03-02,,add,sh.600031,三一重工
sz50,2026-03-02,,add,sh.600036,招商银行
sz50,2026-03-02,,add,sh.600050,中国联通
sz50,2026-03-02,,add,sh.600104,上汽集团
sz50,2026-03-02,,add,sh.600111,北方稀土
sz50,2026-03-02,,add,sh.600150,中国船舶
sz50,2026-03-02,,add,sh.600276,恒瑞医药
sz50,2026-03-02,,add,sh.600309,万华化学
sz50,2026-03-02,,add,sh.600406,国电南瑞
sz50,2026-03-02,,add,sh.600519,贵州茅台
sz50,2026-03-02,,add,sh.600690,海尔智家
sz50,2026-03-02,,add,sh.600760,中航沈飞
sz50,2026-03-02,,add,sh.600809,山西汾酒
sz50,2026-03-02,,add,sh.600887,伊利股份
sz50,2026-03-02,,add,sh.600900,长江电力
sz50,2026-03-02,,add,sh.600930,华电新能
sz50,2026-03-02,,add,sh.601012,隆基绿能
sz50,2026-03-02,,add,sh.601088,中国神华
sz50,2026-03-02,,add,sh.601127,赛力斯
sz50,2026-03-02,,add,sh.601166,兴业银行
sz50,2026-03-02,,add,sh.601211,国泰海通
sz50,2026-03-02,,add,sh.601225,陕西煤业
sz50,2026-03-02,,add,sh.601288,农业银行
sz50,2026-03-02,,add,sh.601318,中国平安
sz50,2026-03-02,,add,sh.601328,交通银行
sz50,2026-03-02,,add,sh.601398,工商银行
sz50,2026-03-02,,add,sh.601601,中国太保
sz50,2026-03-02,,add,sh.601628,中国人寿
sz50,2026-03-02,,add,sh.601658,邮储银行
sz50,2026-03-02,,add,sh.601668,中国建筑
sz50,2026-03-02,,add,sh.601728,中国电信
sz50,2026-03-02,,add,sh.601816,京沪高铁
sz50,2026-03-02,,add,sh.601857,中国石油
sz50,2026-03-02,,add,sh.601888,中国中免
sz50,2026-03-02,,add,sh.601899,紫金矿业
sz50,2026-03-02,,add,sh.601919,中远海控
sz50,2026-03-02,,add,sh.601985,中国核电
sz50,2026-03-02,,add,sh.601988,中国银行
sz50,2026-03-02,,add,sh.603019,中科曙光
sz50,2026-03-02,,add,sh.603259,药明康德
sz50,2026-03-02,,add,sh.603501,豪威集团
sz50,2026-03-02,,add,sh.603993,洛阳钼业
sz50,2026-03-02,,add,sh.688008,澜起科技
sz50,2026-03-02,,add,sh.688012,中微公司
sz50,2026-03-02,,add,sh.688041,海光信息
sz50,2026-03-02,,add,sh.688111,金山办公
sz50,2026-03-02,,add,sh.688256,寒武纪
sz50,2026-03-02,,add,sh.688981,中芯国际
