stock_code,trade_date,industry,value_factor,momentum_factor,quality_factor,volatility_factor,future_return
AAPL,2026-01-02,Technology,0.81,0.72,0.76,-0.18,0.018
MSFT,2026-01-02,Technology,0.79,0.68,0.82,-0.17,0.016
AMZN,2026-01-02,Consumer,0.54,0.64,0.58,-0.21,0.012
JPM,2026-01-02,Financials,0.83,0.39,0.74,-0.09,0.011
AAPL,2026-01-05,Technology,0.82,0.74,0.77,-0.17,0.019
MSFT,2026-01-05,Technology,0.80,0.70,0.83,-0.16,0.017
AMZN,2026-01-05,Consumer,0.55,0.65,0.59,-0.20,0.013
JPM,2026-01-05,Financials,0.84,0.40,0.75,-0.08,0.010
AAPL,2026-01-06,Technology,0.83,0.75,0.78,-0.16,0.020
MSFT,2026-01-06,Technology,0.81,0.71,0.84,-0.15,0.018
AMZN,2026-01-06,Consumer,0.56,0.66,0.60,-0.19,0.014
JPM,2026-01-06,Financials,0.85,0.41,0.76,-0.07,0.011
AAPL,2026-01-07,Technology,0.84,0.76,0.79,-0.15,0.021
MSFT,2026-01-07,Technology,0.82,0.72,0.85,-0.14,0.019
AMZN,2026-01-07,Consumer,0.57,0.67,0.61,-0.18,0.015
JPM,2026-01-07,Financials,0.86,0.42,0.77,-0.06,0.012
